Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Kevin Love,4,34,TOT,2.7,6.8,0.389,1.6,4.8,0.334,1.1,2.1,0.516,1.0,5.5,6.4,1.9,0.3,0.2,0
Jarred Vanderbilt,4,23,TOT,3.2,5.8,0.548,0.4,1.2,0.322,2.8,4.6,0.604,2.2,5.3,7.5,2.4,1.1,0.3,0
Karl-Anthony Towns,4,27,MIN,7.3,14.8,0.495,2.1,5.7,0.366,5.2,9.1,0.576,1.7,6.5,8.1,4.8,0.7,0.6,0
Kenneth Lofton Jr.,4,20,MEM,2.0,3.9,0.527,0.3,0.7,0.353,1.8,3.2,0.566,0.8,1.3,2.1,0.8,0.2,0.1,1
Isaiah Livers,4,24,DET,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.5,2.2,2.8,0.8,0.5,0.5,0
D?vis Bert?ns,4,30,DAL,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.2,1.0,1.2,0.5,0.2,0.2,1
Jonathan Kuminga,4,20,GSW,3.9,7.4,0.525,0.8,2.2,0.37,3.1,5.2,0.59,1.0,2.4,3.4,1.9,0.6,0.5,0
Kyle Kuzma,4,27,WAS,8.0,17.8,0.448,2.5,7.5,0.333,5.5,10.3,0.533,0.9,6.4,7.2,3.7,0.6,0.5,0
P.J. Tucker,4,37,PHI,1.3,3.0,0.427,0.7,1.9,0.393,0.5,1.1,0.482,1.3,2.7,3.9,0.8,0.5,0.2,0
Jake LaRavia,4,21,MEM,1.1,2.7,0.389,0.7,2.0,0.338,0.4,0.7,0.542,0.5,1.3,1.8,0.6,0.3,0.1,0
Alize Johnson,4,26,SAS,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,2.0,2.5,0.3,0.3,0.0,1
LeBron James,4,38,LAL,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,1.2,7.1,8.3,6.8,0.9,0.6,0
Cameron Johnson,4,26,TOT,5.3,11.3,0.47,2.5,6.1,0.404,2.9,5.2,0.548,0.8,3.6,4.4,1.9,1.2,0.3,0
Bojan Bogdanovi?,4,33,DET,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,0.6,3.2,3.8,2.6,0.6,0.1,0
P.J. Washington,4,24,CHO,5.9,13.4,0.444,2.0,5.9,0.348,3.9,7.5,0.518,1.0,3.9,4.9,2.4,0.9,1.1,0
Jarrell Brantley,4,26,UTA,2.0,3.5,0.571,1.0,2.3,0.444,1.0,1.3,0.8,0.3,1.3,1.5,0.8,0.0,0.5,0
Juancho Hernangómez,4,27,TOR,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.6,2.3,2.9,0.6,0.4,0.1,0
Zeke Nnaji,4,22,DEN,2.1,3.7,0.561,0.3,1.2,0.262,1.8,2.5,0.71,1.2,1.4,2.6,0.3,0.3,0.4,0
Georges Niang,4,29,PHI,2.8,6.4,0.442,2.0,4.9,0.401,0.9,1.5,0.576,0.2,2.1,2.4,1.0,0.4,0.2,0
Harrison Barnes,4,30,SAC,4.6,9.6,0.473,1.6,4.3,0.374,3.0,5.3,0.553,1.1,3.4,4.5,1.6,0.7,0.1,0
Larry Nance Jr.,4,30,NOP,2.9,4.7,0.61,0.2,0.6,0.333,2.6,4.0,0.654,1.6,3.8,5.4,1.8,0.9,0.6,1
KZ Okpala,4,23,SAC,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.2,0.8,1.0,0.4,0.2,0.2,1
JT Thor,4,20,CHO,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.5,1.7,2.2,0.5,0.3,0.3,0
Rui Hachimura,4,24,TOT,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.8,3.7,4.5,0.9,0.3,0.4,0
Sam Hauser,4,25,BOS,2.3,5.0,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.4,2.1,2.6,0.9,0.4,0.3,0
Paolo Banchero,4,20,ORL,6.7,15.6,0.427,1.2,4.0,0.298,5.5,11.6,0.471,1.2,5.7,6.9,3.7,0.8,0.5,0
Trendon Watford,4,22,POR,2.9,5.2,0.56,0.4,1.0,0.391,2.5,4.2,0.602,0.7,3.2,3.8,2.1,0.5,0.2,0
